datetime,type,dir[deg],v[m/s],max_gradT (station)
2020060112,-1,231.94,4.79,1.29 (19.0;51.5)
2020060112,-1,252.29,4.4,1.16 (17.5;51.5)
2020060200,-1,244.46,2.14,1.26 (10.0;51.5)
2020060212,1,109.41,4.73,2.56 (14.5;50.0)
2020060300,-1,105.34,3.07,2.02 (16.0;51.5)
2020060300,1,103.54,2.3,1.26 (13.0;50.0)
2020060312,-1,257.95,0.47,2.40 (16.0;48.5)
2020060312,1,80.68,0.77,1.57 (13.0;51.5)
2020060400,1,45.49,3.97,1.96 (17.5;50.0)
2020060412,1,261.84,0.66,1.79 (19.0;51.5)
2020060412,1,56.66,4.51,1.37 (11.5;51.5)
2020060500,-1,126.23,7.68,2.24 (10.0;51.5)
2020060500,-1,77.73,3.71,1.21 (14.5;51.5)
2020060512,-1,66.18,2.72,1.75 (17.5;51.5)
2020060600,-1,109.78,14.4,1.67 (14.5;51.5)
2020060600,-1,101.92,7.75,1.15 (19.0;48.5)
2020060612,1,304.26,4.51,2.62 (14.5;50.0)
2020060700,1,307.76,1.56,2.52 (16.0;51.5)
2020060700,-1,125.47,0.58,2.52 (16.0;51.5)
2020060712,1,306.36,4.01,3.63 (13.0;48.5)
2020060712,-1,126.63,0.84,3.63 (13.0;48.5)
2020060712,-1,133.02,2.91,1.09 (10.0;51.5)
2020060800,-1,112.46,4.68,3.42 (16.0;48.5)
2020060800,1,307.15,2.79,3.08 (19.0;50.0)
2020060812,1,295.88,1.22,2.89 (17.5;48.5)
2020060900,1,296.76,4.21,2.56 (17.5;48.5)
2020060912,1,302.11,2.97,1.72 (19.0;51.5)
2020061000,1,147.19,0.2,1.05 (17.5;51.5)
2020061112,-1,67.53,1.62,1.25 (17.5;50.0)
2020061112,1,253.84,4.6,1.21 (16.0;50.0)
2020061200,1,271.92,0.99,1.34 (13.0;51.5)
2020061212,1,243.59,8.82,1.75 (19.0;51.5)
2020061300,1,48.97,2.53,2.51 (10.0;48.5)
2020061300,-1,289.03,1.49,2.51 (10.0;48.5)
2020061300,1,266.86,6.24,1.16 (11.5;50.0)
2020061312,1,241.28,3.15,1.46 (13.0;48.5)
2020061312,1,285.4,2.0,1.46 (13.0;48.5)
2020061312,-1,214.33,2.04,1.35 (17.5;48.5)
2020061400,-1,123.79,1.73,2.91 (13.0;48.5)
2020061400,1,22.75,1.03,2.91 (13.0;48.5)
2020061400,-1,237.52,4.71,2.00 (19.0;50.0)
2020061412,-1,130.96,1.73,2.32 (16.0;48.5)
2020061412,1,94.95,1.13,2.32 (16.0;48.5)
2020061412,1,339.25,2.99,2.31 (17.5;50.0)
2020061412,1,261.81,2.22,1.71 (14.5;51.5)
2020061412,-1,269.41,4.56,1.71 (14.5;51.5)
2020061412,-1,213.69,0.71,1.15 (11.5;50.0)
2020061500,-1,237.68,2.92,1.81 (17.5;50.0)
2020061500,1,19.71,0.72,1.81 (17.5;50.0)
2020061500,1,245.09,1.34,1.13 (10.0;50.0)
2020061612,-1,234.51,3.67,1.17 (17.5;50.0)
2020061700,1,317.39,3.84,1.22 (19.0;51.5)
2020061712,1,232.83,2.9,1.28 (13.0;48.5)
2020061712,-1,225.77,4.45,1.28 (13.0;48.5)
2020061800,1,252.54,5.9,1.61 (10.0;50.0)
2020061812,-1,80.03,3.88,1.79 (11.5;48.5)
2020061812,-1,53.11,1.33,1.72 (13.0;50.0)
2020061900,-1,262.59,1.37,1.18 (17.5;51.5)
2020061912,1,252.16,3.05,1.79 (17.5;51.5)
2020062000,1,259.26,1.02,1.54 (17.5;51.5)
2020062012,1,99.14,2.23,1.77 (16.0;51.5)
2020062012,1,253.95,5.48,1.61 (16.0;50.0)
2020062100,1,241.46,4.39,1.74 (16.0;50.0)
2020062112,1,245.57,8.33,1.43 (17.5;48.5)
2020062212,-1,109.89,5.21,1.30 (11.5;51.5)
2020062212,-1,126.34,7.6,1.30 (11.5;51.5)
2020062212,1,78.08,0.98,1.08 (17.5;51.5)
2020062212,-1,253.88,0.51,1.08 (17.5;51.5)
2020062412,-1,301.83,2.8,2.52 (10.0;48.5)
2020062412,-1,89.54,0.45,1.27 (19.0;50.0)
2020062500,1,169.37,0.22,1.70 (17.5;50.0)
2020062500,-1,59.48,2.38,1.70 (17.5;50.0)
2020062512,-1,236.28,2.88,2.84 (10.0;48.5)
2020062512,-1,279.53,8.45,1.38 (11.5;51.5)
2020062512,1,238.98,0.6,1.16 (17.5;50.0)
2020062612,1,56.2,1.63,1.71 (13.0;48.5)
2020062612,1,170.45,0.14,1.27 (19.0;50.0)
2020062700,1,63.76,5.97,1.50 (16.0;50.0)
2020062700,-1,82.47,6.98,1.50 (16.0;50.0)
2020062700,-1,85.72,0.73,1.48 (19.0;51.5)
2020062700,1,107.66,1.06,1.44 (17.5;48.5)
2020062712,-1,0.91,4.82,2.03 (10.0;48.5)
2020062712,-1,49.99,6.96,1.48 (17.5;51.5)
2020062712,1,359.43,4.71,1.48 (17.5;51.5)
2020062712,1,66.47,4.55,1.46 (13.0;48.5)
2020062712,1,71.17,6.06,1.34 (16.0;51.5)
2020062812,-1,93.32,11.71,2.54 (10.0;51.5)
2020062812,1,268.32,0.08,2.34 (13.0;48.5)
2020062900,-1,114.34,2.39,2.37 (16.0;48.5)
2020062900,1,296.96,2.6,2.37 (16.0;48.5)
2020062912,-1,95.87,12.05,0.89 (10.0;51.5)
2020063000,-1,93.72,9.14,1.50 (11.5;51.5)
2020063012,1,96.1,10.1,1.53 (13.0;51.5)
2020063012,-1,129.19,5.57,1.09 (17.5;50.0)
2020070100,1,123.01,2.6,1.66 (16.0;48.5)
2020070100,-1,116.53,8.9,1.65 (17.5;50.0)
2020070112,1,133.94,1.4,1.72 (10.0;50.0)
2020070112,1,1.24,5.34,1.54 (14.5;50.0)
2020070200,-1,133.82,5.97,2.48 (16.0;51.5)
2020070212,-1,131.35,2.52,2.45 (10.0;48.5)
2020070212,1,132.6,2.43,2.01 (17.5;51.5)
2020070212,-1,126.18,6.16,2.01 (17.5;51.5)
2020070300,-1,121.34,4.67,1.82 (16.0;50.0)
2020070312,-1,105.11,1.38,1.57 (19.0;50.0)
2020070600,-1,126.17,11.09,2.63 (10.0;51.5)
2020070612,-1,144.05,9.51,4.07 (11.5;48.5)
2020070612,-1,123.66,5.37,2.80 (16.0;50.0)
2020070612,1,127.62,3.07,2.54 (17.5;51.5)
2020070800,1,116.33,3.96,1.57 (13.0;51.5)
2020070800,-1,122.14,7.66,1.57 (13.0;51.5)
2020070900,-1,133.36,11.12,2.14 (17.5;48.5)
2020070900,1,24.29,3.77,1.65 (13.0;48.5)
2020071000,1,166.94,0.75,1.83 (13.0;51.5)
2020071000,1,72.81,6.13,1.31 (17.5;50.0)
2020071012,-1,118.88,8.11,3.56 (10.0;50.0)
2020071012,1,123.35,5.84,2.88 (13.0;51.5)
2020071012,1,6.87,9.5,1.29 (19.0;51.5)
2020071100,-1,130.92,5.64,3.13 (17.5;51.5)
2020071100,-1,119.09,6.96,2.58 (14.5;48.5)
