datetime,type,dir[deg],v[m/s],max_gradT (station)
2013060100,1,288.68,0.42,1.90 (11.5;48.5)
2013060100,-1,282.41,3.06,1.90 (11.5;48.5)
2013060100,1,266.86,2.85,1.65 (17.5;48.5)
2013060100,1,285.61,2.02,1.57 (13.0;51.5)
2013060112,1,130.68,7.87,1.95 (13.0;50.0)
2013060200,1,193.95,1.21,2.41 (17.5;51.5)
2013060212,1,124.32,2.79,1.81 (10.0;51.5)
2013060300,1,253.37,2.36,2.16 (16.0;48.5)
2013060300,-1,86.82,2.72,2.16 (16.0;48.5)
2013060312,1,230.15,9.44,2.41 (14.5;50.0)
2013060312,-1,134.9,8.54,2.27 (16.0;50.0)
2013060400,1,243.61,3.14,1.63 (13.0;50.0)
2013060412,-1,234.65,1.72,2.22 (10.0;48.5)
2013060412,1,293.39,3.31,2.22 (10.0;48.5)
2013060412,1,157.13,7.04,1.23 (16.0;48.5)
2013060500,1,163.48,4.39,0.94 (14.5;51.5)
2013060512,-1,279.94,6.05,1.86 (10.0;48.5)
2013060600,-1,279.02,1.4,1.30 (10.0;51.5)
2013060612,-1,238.71,2.96,1.63 (13.0;48.5)
2013060712,-1,271.59,2.55,1.67 (11.5;48.5)
2013060712,1,262.13,2.69,1.39 (17.5;48.5)
2013060712,-1,262.57,0.32,1.39 (17.5;48.5)
2013060712,-1,311.05,1.77,0.87 (10.0;51.5)
2013060812,1,243.71,3.7,1.31 (13.0;48.5)
2013060812,1,316.74,0.99,1.24 (11.5;51.5)
2013060912,1,269.52,2.06,2.11 (13.0;48.5)
2013061000,1,115.16,1.55,1.51 (16.0;51.5)
2013061000,-1,78.02,7.97,1.38 (14.5;50.0)
2013061012,-1,105.69,1.59,1.88 (14.5;48.5)
2013061012,1,287.08,0.6,1.88 (14.5;48.5)
2013061012,-1,114.92,1.74,1.63 (17.5;50.0)
2013061112,-1,135.07,0.74,1.17 (10.0;51.5)
2013061300,1,68.9,3.94,1.10 (17.5;51.5)
2013061400,-1,112.18,7.94,4.23 (11.5;48.5)
2013061400,1,82.41,2.09,1.51 (16.0;48.5)
2013061400,1,96.74,0.92,1.12 (19.0;51.5)
2013061412,-1,122.13,2.69,2.86 (19.0;51.5)
2013061500,-1,320.06,0.28,2.36 (17.5;50.0)
2013061500,1,324.08,4.46,2.36 (17.5;50.0)
2013061512,-1,91.4,6.5,2.04 (19.0;50.0)
2013061512,1,0.3,0.35,2.04 (19.0;50.0)
2013061612,1,153.55,0.8,3.29 (10.0;48.5)
2013061612,1,106.71,0.29,2.23 (14.5;48.5)
2013061612,-1,138.17,3.35,2.14 (16.0;51.5)
2013061700,1,153.35,1.31,2.12 (14.5;51.5)
2013061712,1,159.61,0.87,2.45 (19.0;51.5)
2013061712,-1,357.65,4.75,2.25 (13.0;50.0)
2013061712,1,351.02,4.39,2.18 (11.5;50.0)
2013061800,1,13.43,4.98,2.36 (16.0;51.5)
2013061800,-1,55.53,1.33,2.05 (10.0;48.5)
2013061800,1,57.75,1.0,1.96 (16.0;48.5)
2013061812,-1,51.21,2.13,2.08 (13.0;51.5)
2013061812,1,26.47,2.36,2.08 (13.0;51.5)
2013061812,-1,285.06,0.42,1.90 (16.0;48.5)
2013061812,1,281.09,6.34,1.65 (10.0;48.5)
2013061900,-1,55.12,0.46,1.88 (14.5;51.5)
2013061900,-1,181.75,4.03,1.63 (17.5;50.0)
2013061912,1,252.0,4.72,1.24 (16.0;48.5)
2013062000,-1,231.24,3.03,1.12 (19.0;51.5)
2013062012,1,273.48,0.8,3.04 (10.0;48.5)
2013062012,-1,277.81,3.27,2.43 (11.5;48.5)
2013062100,-1,60.32,6.23,3.87 (13.0;48.5)
2013062100,1,90.19,2.04,3.87 (13.0;48.5)
2013062100,-1,63.83,6.04,3.29 (11.5;50.0)
