datetime,type,dir[deg],v[m/s],max_gradT (station)
2018060100,-1,42.55,3.83,2.23 (10.0;48.5)
2018060100,1,256.31,1.37,2.23 (10.0;48.5)
2018060112,-1,78.2,1.67,2.18 (13.0;50.0)
2018060112,1,52.61,3.13,2.18 (13.0;50.0)
2018060200,-1,77.71,6.83,1.40 (14.5;51.5)
2018060312,-1,292.5,3.14,1.86 (11.5;48.5)
2018060412,-1,285.59,4.01,1.47 (13.0;50.0)
2018060512,-1,255.68,0.43,1.77 (14.5;48.5)
2018060512,-1,273.09,2.8,1.52 (11.5;48.5)
2018060512,-1,242.58,2.43,1.49 (11.5;51.5)
2018060512,-1,226.56,0.48,1.37 (19.0;50.0)
2018060600,1,215.79,0.72,1.98 (11.5;50.0)
2018060600,-1,358.38,2.6,1.98 (11.5;50.0)
2018060600,-1,217.16,3.35,1.43 (17.5;48.5)
2018060600,1,25.77,0.07,1.43 (17.5;48.5)
2018060600,1,227.92,1.57,1.32 (17.5;51.5)
2018060612,-1,337.05,0.25,1.94 (19.0;50.0)
2018060612,1,237.97,2.87,1.64 (13.0;50.0)
2018060700,-1,246.24,0.4,2.84 (19.0;51.5)
2018060700,1,46.19,1.21,2.84 (19.0;51.5)
2018060700,-1,275.23,5.36,1.42 (14.5;50.0)
2018060712,-1,259.01,0.68,1.92 (17.5;51.5)
2018060712,1,35.84,0.77,1.92 (17.5;51.5)
2018060712,-1,224.18,4.37,1.23 (13.0;48.5)
2018060712,-1,128.23,0.95,0.87 (10.0;48.5)
2018060800,1,38.22,0.31,1.26 (19.0;51.5)
2018060912,-1,10.58,3.85,1.20 (17.5;48.5)
2018060912,-1,123.44,1.18,1.04 (11.5;48.5)
2018060912,1,322.01,0.99,0.92 (16.0;48.5)
2018060912,-1,241.86,4.94,0.87 (17.5;51.5)
2018061000,1,254.0,2.15,1.05 (10.0;51.5)
2018061012,-1,54.34,2.77,1.75 (10.0;48.5)
2018061100,-1,83.72,2.33,1.49 (19.0;51.5)
2018061100,1,141.0,0.72,1.34 (10.0;50.0)
2018061100,-1,114.52,9.32,1.18 (13.0;50.0)
2018061112,1,299.52,0.28,2.35 (11.5;50.0)
2018061200,-1,129.44,8.13,2.49 (14.5;48.5)
2018061200,1,107.95,0.97,2.47 (16.0;50.0)
2018061212,-1,90.63,0.77,3.05 (14.5;48.5)
2018061212,-1,124.69,6.14,2.24 (19.0;50.0)
2018061212,-1,50.45,2.48,2.09 (11.5;51.5)
2018061300,-1,142.74,2.36,2.39 (11.5;51.5)
2018061312,-1,142.94,2.44,2.60 (14.5;48.5)
2018061312,1,305.32,0.9,2.60 (14.5;48.5)
2018061400,1,299.77,0.96,2.48 (17.5;48.5)
2018061500,-1,136.6,2.55,1.25 (16.0;48.5)
2018061612,-1,304.06,2.72,1.91 (11.5;48.5)
2018061612,-1,235.8,1.81,1.91 (11.5;48.5)
2018061700,-1,110.87,3.99,1.73 (10.0;51.5)
2018061712,-1,118.7,4.25,2.36 (10.0;48.5)
2018061800,-1,117.6,1.46,2.33 (16.0;51.5)
2018061812,-1,134.82,3.37,1.39 (17.5;51.5)
2018062012,-1,281.69,3.09,2.12 (11.5;48.5)
2018062012,1,243.1,2.82,2.12 (11.5;48.5)
2018062100,-1,148.02,2.58,1.26 (13.0;51.5)
2018062112,-1,127.78,10.42,4.81 (13.0;51.5)
2018062112,1,130.35,1.53,1.21 (16.0;51.5)
2018062200,-1,145.62,12.76,4.30 (17.5;48.5)
2018062412,-1,124.23,2.12,2.45 (11.5;48.5)
2018062612,-1,256.96,2.67,1.02 (17.5;50.0)
2018062612,-1,226.62,4.18,1.02 (17.5;50.0)
2018062700,-1,257.31,6.08,0.95 (13.0;48.5)
2018062712,1,256.44,7.56,1.03 (19.0;50.0)
2018062812,1,286.39,13.68,1.39 (17.5;51.5)
2018062900,1,254.02,11.9,1.14 (14.5;48.5)
2018062900,1,245.81,6.37,0.94 (16.0;48.5)
2018063000,-1,195.02,5.48,2.25 (16.0;51.5)
2018063012,-1,210.23,3.97,3.75 (14.5;48.5)
2018063012,-1,236.08,3.24,3.12 (11.5;48.5)
2018070100,-1,229.05,1.62,3.56 (11.5;48.5)
2018070200,-1,226.25,3.34,4.12 (10.0;48.5)
2018070212,-1,221.72,3.12,3.64 (10.0;48.5)
2018070300,1,46.4,0.14,2.39 (10.0;48.5)
2018070300,-1,229.1,0.02,2.39 (10.0;48.5)
2018070400,1,48.64,0.65,1.26 (13.0;50.0)
2018070512,-1,91.63,3.48,1.98 (11.5;48.5)
2018070512,-1,142.67,5.48,1.04 (17.5;51.5)
2018070600,-1,109.75,4.62,1.59 (14.5;48.5)
2018070600,-1,125.12,4.95,1.28 (19.0;51.5)
2018070612,-1,124.42,1.74,2.36 (17.5;51.5)
2018070612,-1,231.23,1.26,2.00 (16.0;51.5)
2018070612,1,88.4,0.17,1.44 (17.5;48.5)
2018070912,-1,90.54,0.05,2.00 (10.0;48.5)
2018070912,-1,123.71,4.84,1.88 (14.5;51.5)
2018070912,-1,233.35,0.5,1.08 (19.0;51.5)
2018071000,-1,129.2,3.72,2.58 (13.0;51.5)
2018071000,1,328.67,1.58,2.58 (13.0;51.5)
2018071000,-1,153.37,3.13,2.30 (10.0;50.0)
2018071000,1,143.32,0.83,2.30 (10.0;50.0)
2018071012,-1,109.48,6.34,2.81 (11.5;48.5)
2018071012,1,293.87,0.63,1.68 (17.5;51.5)
2018071100,-1,119.35,2.92,1.66 (13.0;48.5)
2018071100,1,263.29,1.04,1.63 (16.0;50.0)
2018071100,-1,99.54,0.54,1.54 (17.5;50.0)
2018071112,1,62.92,0.63,1.54 (19.0;51.5)
2018071112,-1,58.57,1.18,1.54 (19.0;51.5)
2018071300,1,68.47,3.2,1.43 (16.0;48.5)
2018071400,-1,119.5,0.72,1.11 (10.0;48.5)
2018071412,-1,153.88,1.3,1.62 (11.5;48.5)
2018071412,-1,91.51,4.25,1.56 (11.5;51.5)
2018071500,-1,196.53,0.26,1.51 (11.5;50.0)
2018071512,-1,131.77,1.93,2.14 (11.5;51.5)
2018071512,1,107.83,6.43,1.77 (13.0;51.5)
2018071600,1,245.96,4.42,1.37 (11.5;51.5)
2018071612,-1,104.43,2.51,1.18 (19.0;50.0)
2018071700,-1,71.19,0.72,0.84 (17.5;50.0)
2018071712,1,58.76,1.44,1.53 (16.0;50.0)
2018071712,-1,244.98,0.09,1.53 (16.0;50.0)
2018071800,1,226.35,2.44,0.85 (19.0;51.5)
2018071812,1,265.35,0.53,2.04 (17.5;51.5)
2018071900,-1,121.08,5.38,1.51 (19.0;48.5)
2018071912,-1,124.97,0.69,2.28 (11.5;48.5)
2018071912,1,251.89,2.6,1.66 (17.5;51.5)
2018072000,1,238.81,4.2,1.09 (17.5;51.5)
2018072012,-1,51.33,0.18,1.94 (14.5;48.5)
2018072100,1,355.39,0.17,1.78 (14.5;51.5)
2018072100,-1,90.88,3.96,1.57 (10.0;48.5)
2018072100,-1,23.55,1.42,1.56 (14.5;50.0)
2018072100,1,50.03,0.37,1.36 (11.5;51.5)
2018072112,-1,300.6,0.57,1.87 (16.0;51.5)
2018072200,1,276.88,1.28,1.28 (17.5;51.5)
2018072312,-1,130.73,4.29,1.01 (13.0;51.5)
