datetime,type,dir[deg],v[m/s],max_gradT (station)
2014090812,1,117.96,3.21,1.09 (16.0;51.5)
2014090900,-1,145.98,4.1,1.59 (10.0;50.0)
2014090900,1,115.21,2.23,1.41 (14.5;51.5)
2014090900,-1,136.03,1.39,1.27 (17.5;51.5)
2014090912,-1,156.0,1.8,2.53 (11.5;48.5)
2014090912,-1,117.67,3.17,2.12 (16.0;51.5)
2014090912,1,123.62,2.48,1.85 (17.5;51.5)
2014091000,-1,142.21,3.18,2.15 (19.0;50.0)
2014091000,1,153.24,0.2,1.63 (10.0;50.0)
2014091012,-1,137.85,1.58,2.34 (11.5;48.5)
2014091112,1,292.45,1.68,1.13 (14.5;51.5)
2014091200,1,291.26,9.41,1.84 (17.5;50.0)
2014091212,-1,243.84,5.0,2.35 (14.5;50.0)
2014091300,1,264.77,3.38,1.60 (14.5;51.5)
2014091300,-1,252.12,5.14,1.60 (14.5;51.5)
2014091300,-1,334.47,1.56,1.34 (10.0;48.5)
2014091312,1,223.38,2.69,1.28 (19.0;50.0)
2014091412,1,239.15,7.45,1.56 (14.5;51.5)
2014091412,1,249.36,10.69,1.56 (14.5;51.5)
2014091412,-1,236.44,3.71,1.46 (10.0;48.5)
2014091412,-1,264.96,6.08,1.46 (17.5;50.0)
2014091500,-1,256.72,6.78,1.03 (17.5;50.0)
2014091512,1,252.73,3.4,1.89 (10.0;48.5)
2014091600,-1,247.94,5.47,1.07 (19.0;51.5)
2014091612,1,242.29,2.13,1.70 (11.5;48.5)
2014091712,-1,261.51,2.75,0.84 (19.0;51.5)
2014091800,1,12.89,10.43,2.16 (16.0;48.5)
2014091800,-1,294.5,1.56,2.13 (14.5;48.5)
2014091800,-1,260.17,1.47,1.07 (19.0;51.5)
2014091812,1,16.19,1.18,2.68 (14.5;48.5)
2014091812,-1,277.59,1.46,2.68 (14.5;48.5)
2014091900,1,61.27,1.63,2.74 (16.0;48.5)
2014091912,1,66.04,3.39,2.40 (16.0;48.5)
2014092000,1,67.41,3.92,2.27 (19.0;48.5)
2014092000,-1,80.94,5.9,1.50 (17.5;48.5)
2014092012,1,54.63,3.67,1.47 (19.0;48.5)
2014092012,-1,139.8,4.13,1.19 (11.5;48.5)
2014092012,-1,120.65,3.37,1.11 (13.0;48.5)
2014092112,-1,124.81,5.31,1.33 (10.0;51.5)
2014092200,-1,117.85,6.62,2.06 (14.5;48.5)
2014092212,-1,102.86,14.04,1.19 (14.5;51.5)
2014092400,1,344.58,1.56,2.14 (10.0;50.0)
2014092400,1,84.35,4.03,1.63 (19.0;51.5)
2014092412,1,60.2,5.32,2.47 (17.5;48.5)
2014092412,1,69.66,5.02,1.79 (11.5;51.5)
2014092412,-1,89.68,8.78,1.49 (13.0;48.5)
2014092500,-1,81.62,7.67,1.69 (17.5;48.5)
2014092500,1,66.2,13.2,1.69 (17.5;48.5)
2014092700,1,114.72,6.28,2.01 (19.0;51.5)
2014092800,-1,299.49,1.03,1.60 (13.0;48.5)
2014092800,-1,232.78,4.79,1.55 (19.0;50.0)
2014092800,1,93.44,0.56,1.21 (11.5;48.5)
2014092812,-1,296.5,2.36,1.89 (16.0;48.5)
2014092812,1,17.06,8.35,1.01 (10.0;51.5)
2014092900,-1,37.33,3.01,1.25 (13.0;48.5)
2014092912,1,26.84,2.7,1.20 (17.5;51.5)
2014092912,-1,154.18,3.86,1.20 (17.5;51.5)
2014092912,1,283.45,1.53,0.98 (11.5;48.5)
2014092912,1,344.15,4.45,0.86 (17.5;48.5)
2014093000,1,55.42,6.52,1.41 (17.5;48.5)
