datetime,type,dir[deg],v[m/s],max_gradT (station)
2014060112,-1,138.63,1.68,1.58 (10.0;48.5)
2014060200,1,337.76,0.55,1.24 (10.0;51.5)
2014060300,-1,240.79,0.23,1.46 (16.0;48.5)
2014060312,-1,87.43,1.93,1.37 (14.5;50.0)
2014060400,1,59.21,0.57,1.31 (16.0;50.0)
2014060412,1,34.16,0.72,1.34 (13.0;51.5)
2014060500,-1,88.86,3.99,1.50 (14.5;48.5)
2014060500,-1,76.1,12.83,1.28 (11.5;51.5)
2014060512,-1,68.83,4.66,1.53 (14.5;51.5)
2014060512,-1,90.48,1.81,1.44 (17.5;50.0)
2014060512,1,75.42,1.15,1.44 (17.5;50.0)
2014060612,1,13.29,0.93,2.07 (10.0;48.5)
2014060612,-1,158.79,0.07,1.47 (19.0;50.0)
2014060700,1,73.52,3.82,1.29 (10.0;51.5)
2014060712,-1,236.28,0.86,1.86 (14.5;48.5)
2014060712,1,33.32,1.41,1.85 (19.0;51.5)
2014060800,1,94.38,1.24,0.91 (17.5;48.5)
2014060812,-1,308.95,3.04,1.25 (14.5;48.5)
2014060900,1,309.35,1.15,1.61 (10.0;51.5)
2014060900,-1,120.31,3.19,1.61 (10.0;51.5)
2014060900,1,311.36,0.29,1.46 (11.5;51.5)
2014060900,-1,296.87,3.77,1.31 (14.5;48.5)
2014060900,-1,258.57,1.42,1.30 (19.0;51.5)
2014060912,1,132.19,0.02,1.80 (10.0;51.5)
2014060912,-1,338.24,2.98,1.12 (16.0;48.5)
2014060912,1,37.14,2.2,0.94 (19.0;51.5)
2014061000,1,327.84,6.12,1.61 (11.5;51.5)
2014061012,1,52.08,2.28,1.60 (16.0;51.5)
2014061012,-1,228.39,3.46,1.47 (14.5;51.5)
2014061012,-1,225.21,1.74,1.46 (16.0;50.0)
2014061100,1,64.04,0.74,2.23 (17.5;50.0)
2014061100,1,282.0,5.26,1.36 (11.5;50.0)
2014061112,-1,113.59,2.1,2.35 (11.5;48.5)
2014061112,-1,249.0,1.95,1.98 (17.5;50.0)
2014061200,-1,149.29,2.62,1.64 (11.5;51.5)
2014061212,1,140.49,0.91,2.35 (13.0;50.0)
2014061300,-1,45.68,2.76,2.00 (14.5;48.5)
2014061312,-1,159.74,6.01,1.54 (19.0;48.5)
2014061512,-1,165.71,1.68,1.84 (11.5;48.5)
2014061512,-1,159.01,3.34,1.63 (17.5;48.5)
2014061612,-1,99.76,3.94,1.56 (10.0;51.5)
2014061700,-1,153.85,0.08,1.92 (10.0;50.0)
2014061700,1,296.41,1.65,1.92 (10.0;50.0)
2014061812,-1,304.01,1.16,1.62 (11.5;51.5)
2014061900,-1,311.23,0.38,1.82 (10.0;50.0)
2014061900,1,51.22,1.16,1.20 (19.0;48.5)
2014061912,-1,143.33,5.38,2.28 (14.5;50.0)
2014061912,-1,125.62,9.68,2.28 (14.5;50.0)
2014061912,-1,106.64,8.57,2.28 (17.5;51.5)
2014062000,-1,152.91,7.96,1.91 (19.0;48.5)
2014062112,-1,151.07,6.03,1.11 (19.0;50.0)
2014062212,-1,181.47,0.86,3.36 (11.5;48.5)
2014062300,-1,167.81,1.82,2.75 (14.5;48.5)
2014062312,-1,167.71,1.3,3.18 (11.5;48.5)
2014062400,-1,188.44,1.16,2.81 (19.0;50.0)
2014062400,1,24.04,0.46,2.81 (19.0;50.0)
2014062400,-1,31.8,1.05,2.11 (14.5;50.0)
2014062500,-1,162.86,2.77,1.76 (11.5;50.0)
2014062500,-1,29.02,0.12,1.53 (19.0;50.0)
2014062512,-1,52.69,0.7,2.51 (11.5;48.5)
2014062512,1,88.63,1.07,1.81 (17.5;50.0)
2014062600,-1,121.4,6.97,1.82 (19.0;50.0)
2014062612,-1,126.84,1.5,2.87 (11.5;48.5)
2014062712,1,32.58,3.15,1.61 (11.5;48.5)
2014062712,1,81.3,2.71,1.22 (19.0;50.0)
2014062800,-1,125.52,2.01,1.38 (10.0;50.0)
2014062800,1,47.68,2.63,1.37 (17.5;48.5)
2014062812,1,306.27,0.34,2.51 (10.0;48.5)
2014062812,1,98.26,3.56,1.48 (14.5;50.0)
2014062900,1,104.67,3.99,1.80 (14.5;50.0)
2014062900,-1,112.51,9.26,1.71 (10.0;51.5)
2014062900,1,115.07,1.56,1.71 (10.0;51.5)
2014062912,1,293.3,2.02,2.68 (14.5;48.5)
2014062912,-1,130.03,4.68,1.70 (16.0;50.0)
2014063000,1,302.91,0.21,2.91 (19.0;48.5)
2014070112,-1,232.47,1.14,2.17 (10.0;48.5)
2014070200,-1,160.65,1.97,1.71 (10.0;50.0)
2014070200,1,4.33,1.95,1.47 (11.5;51.5)
2014070200,1,55.98,2.6,1.38 (14.5;50.0)
2014070212,-1,133.55,2.22,1.49 (11.5;51.5)
2014070212,1,288.14,0.06,1.26 (14.5;48.5)
2014070212,1,121.24,3.46,1.26 (16.0;51.5)
2014070312,1,109.87,1.99,1.73 (11.5;48.5)
2014070412,1,329.85,4.48,2.12 (14.5;48.5)
2014070412,-1,8.25,3.77,2.12 (14.5;48.5)
2014070412,1,63.31,5.12,1.25 (19.0;51.5)
2014070500,1,64.5,9.66,3.00 (17.5;48.5)
2014070500,1,96.29,4.08,1.97 (11.5;48.5)
2014070500,-1,295.95,3.12,1.21 (14.5;51.5)
2014070600,-1,55.84,5.47,0.94 (14.5;50.0)
2014070612,1,237.95,0.98,1.04 (14.5;48.5)
2014070700,-1,72.4,7.5,2.97 (11.5;48.5)
2014070700,1,227.68,1.15,2.97 (11.5;48.5)
2014070700,-1,288.2,5.45,2.37 (13.0;48.5)
2014070712,1,282.05,1.57,3.05 (11.5;51.5)
2014070712,-1,96.3,1.13,1.61 (14.5;50.0)
2014070800,1,291.66,5.48,2.10 (11.5;48.5)
2014070800,-1,74.2,0.89,1.56 (13.0;50.0)
2014070812,-1,120.55,1.19,2.50 (13.0;48.5)
2014070812,1,252.8,2.2,2.50 (13.0;48.5)
2014070900,1,222.77,0.78,3.17 (14.5;50.0)
2014070900,-1,70.03,1.35,3.17 (14.5;50.0)
2014070900,1,264.75,0.62,2.13 (16.0;48.5)
2014070912,-1,147.95,2.19,2.83 (11.5;51.5)
2014070912,-1,232.06,1.41,1.94 (19.0;48.5)
2014070912,1,223.12,3.82,1.90 (17.5;50.0)
2014071000,1,333.35,0.36,2.97 (11.5;51.5)
2014071000,-1,241.12,7.88,2.45 (14.5;51.5)
2014071000,1,224.16,10.58,2.45 (14.5;51.5)
2014071012,1,150.9,1.97,2.46 (14.5;51.5)
2014071012,-1,239.37,4.79,2.46 (14.5;51.5)
2014071012,1,255.03,1.93,1.77 (17.5;48.5)
2014071100,-1,309.51,2.62,2.04 (11.5;50.0)
2014071100,1,258.81,6.72,1.90 (16.0;48.5)
2014071100,1,211.18,8.13,1.51 (13.0;51.5)
2014071100,1,270.08,7.23,0.96 (17.5;51.5)
2014071112,1,251.1,5.09,1.34 (14.5;48.5)
2014071112,1,150.53,2.88,1.34 (11.5;50.0)
2014071112,-1,207.94,7.17,0.92 (14.5;50.0)
2014071112,-1,160.93,4.34,0.85 (19.0;51.5)
2014071200,-1,219.79,3.19,1.18 (13.0;51.5)
2014071200,1,322.0,0.09,1.18 (13.0;51.5)
2014071200,1,213.82,3.58,0.90 (10.0;48.5)
2014071212,-1,121.77,4.46,1.76 (11.5;48.5)
2014071212,-1,67.5,6.13,1.65 (14.5;48.5)
2014071300,-1,93.74,4.71,0.92 (11.5;51.5)
2014071312,1,97.19,3.33,1.35 (19.0;50.0)
2014071400,-1,326.46,1.12,1.05 (17.5;51.5)
2014071512,-1,95.82,2.27,1.70 (10.0;48.5)
2014071612,-1,311.65,0.42,1.89 (11.5;48.5)
2014071612,-1,59.23,1.52,1.89 (11.5;48.5)
2014071700,1,347.49,0.26,0.87 (13.0;51.5)
2014071712,-1,56.83,2.39,1.44 (11.5;48.5)
2014071912,-1,31.58,0.12,1.27 (13.0;48.5)
2014072000,-1,353.66,0.69,1.22 (10.0;50.0)
2014072012,-1,73.95,2.97,1.76 (10.0;48.5)
2014072012,1,302.74,2.85,1.48 (16.0;48.5)
2014072012,1,47.82,4.06,1.38 (19.0;51.5)
2014072100,-1,92.34,1.71,2.66 (11.5;50.0)
2014072100,1,234.54,3.41,2.66 (11.5;50.0)
2014072100,1,37.6,2.38,2.37 (19.0;51.5)
2014072112,-1,121.1,3.74,2.04 (14.5;48.5)
2014072112,1,252.07,4.46,2.04 (14.5;48.5)
2014072112,-1,91.66,1.86,2.04 (14.5;48.5)
2014072112,1,253.42,7.3,1.74 (10.0;51.5)
2014072112,-1,268.21,7.33,1.55 (17.5;51.5)
2014072112,1,22.59,1.5,1.55 (17.5;51.5)
2014072200,1,263.66,5.84,1.21 (16.0;48.5)
2014072400,-1,246.16,10.78,1.23 (16.0;50.0)
2014072412,-1,261.68,3.77,1.49 (13.0;48.5)
2014072412,1,274.9,18.83,0.93 (16.0;50.0)
2014072500,1,73.0,2.6,1.25 (13.0;50.0)
2014072512,1,330.91,0.2,1.36 (10.0;48.5)
2014072600,1,282.12,1.53,1.18 (14.5;48.5)
2014072612,1,244.56,3.35,2.12 (10.0;48.5)
2014072700,1,220.69,4.9,1.76 (10.0;48.5)
2014072700,-1,40.39,2.92,0.97 (14.5;48.5)
2014072712,1,261.02,1.49,1.40 (10.0;51.5)
2014072800,-1,32.69,2.09,1.24 (19.0;48.5)
2014072812,1,241.35,3.14,1.26 (10.0;48.5)
2014072812,-1,255.38,1.93,1.10 (13.0;48.5)
2014072900,1,246.03,2.5,1.67 (10.0;48.5)
2014072900,-1,219.38,0.25,1.05 (19.0;50.0)
2014072912,1,245.79,1.8,1.14 (19.0;51.5)
2014072912,1,216.18,0.93,1.13 (11.5;48.5)
2014072912,1,257.46,2.51,1.13 (11.5;48.5)
2014073000,-1,52.86,0.65,1.20 (13.0;48.5)
2014073100,-1,112.42,2.18,1.67 (14.5;50.0)
2014073112,1,249.06,0.45,1.88 (17.5;51.5)
2014073112,-1,117.64,1.32,1.88 (17.5;51.5)
2014073112,-1,115.53,0.44,1.50 (13.0;48.5)
2014080100,1,282.98,2.43,2.00 (19.0;51.5)
2014080200,1,311.43,5.92,1.65 (19.0;51.5)
2014080212,-1,104.1,0.47,1.53 (13.0;48.5)
2014080212,1,287.71,5.01,1.35 (14.5;50.0)
2014080312,1,123.09,0.28,1.67 (11.5;48.5)
2014080312,1,89.87,0.23,1.17 (14.5;48.5)
2014080400,-1,22.16,1.75,1.74 (16.0;48.5)
2014080400,1,96.53,0.37,1.74 (16.0;48.5)
2014080412,1,119.44,2.15,1.35 (11.5;48.5)
2014080412,-1,99.3,4.11,0.91 (10.0;51.5)
2014080700,-1,303.93,0.49,1.51 (17.5;48.5)
2014080712,-1,98.93,2.34,1.72 (11.5;48.5)
2014080800,-1,99.71,3.55,0.80 (14.5;51.5)
2014080900,-1,82.29,0.68,1.45 (16.0;48.5)
2014080912,-1,82.97,9.57,2.44 (10.0;51.5)
2014080912,1,31.77,5.25,0.93 (17.5;51.5)
2014081000,1,312.06,4.11,1.62 (10.0;50.0)
2014081000,-1,151.11,2.86,1.36 (13.0;51.5)
2014081000,-1,120.23,5.83,0.98 (19.0;51.5)
2014081012,1,326.79,3.06,2.16 (10.0;48.5)
2014081012,1,305.74,4.19,1.51 (13.0;50.0)
2014081100,-1,292.8,0.94,3.30 (14.5;50.0)
2014081100,-1,73.57,16.23,2.23 (10.0;51.5)
2014081100,1,93.31,2.72,1.88 (16.0;51.5)
2014081112,-1,96.98,0.48,2.14 (16.0;48.5)
2014081112,-1,116.89,3.83,1.77 (17.5;50.0)
2014081812,1,95.7,2.94,2.14 (13.0;48.5)
2014081812,-1,136.37,2.34,1.56 (16.0;50.0)
2014081812,1,110.21,6.79,1.52 (17.5;51.5)
2014081900,-1,128.54,5.39,1.99 (17.5;50.0)
2014081900,1,122.64,2.2,1.99 (17.5;50.0)
2014081912,1,309.5,5.39,1.53 (19.0;50.0)
2014082000,-1,94.1,9.94,1.94 (16.0;51.5)
2014082212,1,98.39,2.36,1.18 (14.5;50.0)
2014082300,-1,97.21,8.33,1.30 (16.0;50.0)
2014082300,1,133.44,0.05,0.82 (17.5;51.5)
2014082412,-1,128.75,12.3,1.65 (17.5;48.5)
2014082700,1,23.95,0.31,1.84 (17.5;50.0)
2014083012,-1,91.55,5.74,1.23 (13.0;50.0)
2014083100,-1,116.16,7.16,1.96 (10.0;51.5)
2014083112,-1,102.42,5.29,1.76 (13.0;48.5)
2014083112,1,276.71,0.45,1.63 (14.5;48.5)
2014090100,-1,91.83,3.37,1.72 (16.0;48.5)
2014090100,1,357.86,0.07,1.49 (17.5;48.5)
2014090112,1,272.14,3.62,1.86 (16.0;48.5)
2014090112,1,256.86,4.48,1.62 (16.0;51.5)
2014090200,-1,120.13,4.38,2.28 (16.0;48.5)
2014090200,1,278.09,3.92,2.28 (16.0;48.5)
2014090212,1,267.51,5.15,2.83 (16.0;48.5)
2014090212,1,301.24,7.81,1.68 (17.5;51.5)
2014090300,1,299.11,5.08,2.54 (16.0;48.5)
2014090300,1,308.25,0.13,1.01 (13.0;48.5)
2014090312,1,262.25,7.6,2.53 (16.0;48.5)
2014090400,1,261.61,7.84,1.88 (10.0;50.0)
2014090412,1,261.0,5.95,1.64 (16.0;48.5)
2014090412,-1,228.81,4.84,1.49 (19.0;51.5)
2014090412,1,257.34,6.41,1.27 (11.5;48.5)
2014090500,1,241.63,2.33,1.69 (19.0;50.0)
2014090500,-1,242.79,3.75,1.69 (19.0;50.0)
2014090500,-1,235.47,2.56,1.38 (16.0;51.5)
2014090512,-1,290.06,2.93,1.52 (13.0;48.5)
2014090512,1,252.88,1.06,1.52 (13.0;48.5)
2014090512,1,269.92,2.92,1.42 (16.0;51.5)
2014090512,1,96.02,1.99,1.08 (11.5;48.5)
2014090600,-1,240.9,2.23,1.13 (19.0;51.5)
2014090612,-1,280.91,0.0,1.14 (17.5;51.5)
2014090612,1,29.76,0.57,1.14 (17.5;51.5)
2014090700,1,46.84,1.86,1.40 (19.0;51.5)
2014090712,-1,117.85,1.81,1.84 (10.0;51.5)
2014090712,1,45.04,0.33,1.42 (19.0;51.5)
2014090712,-1,66.28,0.51,1.11 (11.5;48.5)
2014090800,-1,123.04,3.41,1.72 (10.0;51.5)
2014090800,1,118.31,0.61,1.67 (10.0;50.0)
2014090800,1,54.26,2.07,0.91 (19.0;51.5)
2014090812,1,91.51,2.31,1.86 (10.0;48.5)
