datetime,type,dir[deg],v[m/s],max_gradT (station)
2019060300,-1,301.9,6.22,1.20 (14.5;48.5)
2019060312,1,15.69,0.51,1.77 (10.0;51.5)
2019060312,-1,308.0,3.82,1.44 (16.0;48.5)
2019060400,1,325.37,0.4,1.70 (13.0;51.5)
2019060400,-1,137.97,1.32,1.70 (13.0;51.5)
2019060412,1,289.03,5.33,1.56 (10.0;50.0)
2019060412,-1,112.02,2.52,1.24 (13.0;51.5)
2019060512,-1,323.23,1.62,1.69 (17.5;48.5)
2019060512,1,278.68,6.14,1.43 (10.0;50.0)
2019060512,-1,234.8,3.72,1.43 (10.0;50.0)
2019060512,-1,277.2,4.9,1.25 (14.5;51.5)
2019060600,-1,41.49,3.64,3.44 (10.0;48.5)
2019060600,1,249.79,3.18,3.44 (10.0;48.5)
2019060612,-1,76.29,4.93,3.47 (10.0;51.5)
2019060612,-1,85.02,3.94,2.89 (11.5;51.5)
2019060612,1,56.46,5.55,1.56 (16.0;48.5)
2019060700,-1,341.79,0.77,2.23 (11.5;51.5)
2019060700,-1,102.06,2.45,1.40 (14.5;48.5)
2019060700,-1,91.09,1.42,1.39 (16.0;51.5)
2019060712,1,263.64,0.84,2.51 (11.5;50.0)
2019060800,-1,85.59,8.48,4.64 (13.0;48.5)
2019060800,1,66.95,3.42,4.64 (13.0;48.5)
2019060812,-1,100.93,1.55,1.96 (17.5;48.5)
2019060900,1,312.04,3.16,2.26 (17.5;48.5)
2019060900,1,297.52,4.74,2.03 (10.0;50.0)
2019060912,1,308.13,4.02,2.45 (10.0;48.5)
2019060912,1,350.6,4.77,1.50 (14.5;48.5)
2019061000,1,296.84,3.53,2.29 (10.0;48.5)
2019061000,-1,287.48,2.18,1.72 (13.0;50.0)
2019061000,1,26.97,6.17,1.21 (19.0;51.5)
2019061012,1,285.34,4.0,2.78 (11.5;48.5)
2019061012,-1,271.23,2.39,2.21 (13.0;50.0)
2019061012,1,114.07,0.02,2.21 (13.0;50.0)
2019061100,1,30.88,0.47,4.80 (11.5;48.5)
2019061100,-1,280.01,0.79,4.09 (13.0;48.5)
2019061112,1,289.17,5.38,5.85 (10.0;48.5)
2019061112,-1,277.27,11.27,3.83 (13.0;50.0)
2019061200,-1,325.64,4.37,3.59 (11.5;50.0)
2019061200,1,287.59,1.01,3.59 (11.5;50.0)
2019061212,-1,105.05,8.45,4.51 (11.5;48.5)
2019061212,1,260.95,2.76,4.51 (11.5;48.5)
2019061212,-1,64.67,6.25,4.09 (11.5;50.0)
2019061212,-1,281.8,4.95,4.08 (13.0;48.5)
2019061300,1,288.59,0.62,3.34 (14.5;48.5)
2019061300,-1,90.92,5.39,2.59 (14.5;50.0)
2019061312,1,311.68,4.92,2.89 (13.0;48.5)
2019061312,1,293.13,2.79,2.79 (17.5;50.0)
2019061400,-1,157.84,3.11,2.17 (14.5;51.5)
2019061400,1,319.32,1.14,2.02 (14.5;48.5)
2019061412,-1,76.79,0.1,1.36 (17.5;50.0)
2019061500,1,264.47,5.84,2.18 (10.0;51.5)
2019061500,-1,109.09,1.87,2.17 (10.0;50.0)
2019061500,1,58.65,4.68,1.95 (16.0;50.0)
2019061500,-1,66.95,5.38,1.95 (14.5;50.0)
2019061512,-1,91.59,5.18,3.03 (13.0;48.5)
2019061512,1,279.48,1.26,1.56 (14.5;48.5)
2019061512,1,47.49,3.58,1.04 (19.0;50.0)
2019061600,-1,105.07,3.67,2.62 (14.5;48.5)
