datetime,type,dir[deg],v[m/s],max_gradT (station)
2015061412,-1,256.77,6.43,2.11 (10.0;48.5)
2015061412,1,341.09,0.91,1.53 (19.0;50.0)
2015061500,-1,243.52,2.4,2.17 (14.5;51.5)
2015061500,1,313.47,1.41,2.17 (14.5;51.5)
2015061500,-1,142.89,0.62,2.17 (14.5;51.5)
2015061500,1,82.12,0.22,2.13 (16.0;51.5)
2015061512,-1,133.4,1.32,2.52 (19.0;51.5)
2015061512,1,324.64,2.07,2.52 (19.0;51.5)
2015061512,-1,118.67,0.66,2.25 (10.0;51.5)
2015061600,1,314.13,2.58,2.93 (17.5;48.5)
2015061612,-1,127.31,0.84,2.22 (10.0;50.0)
2015061612,-1,188.89,1.89,2.10 (19.0;50.0)
2015061812,-1,131.51,8.79,1.80 (10.0;51.5)
2015061812,1,109.96,12.06,1.67 (11.5;48.5)
2015061900,-1,123.91,6.74,1.88 (14.5;50.0)
2015062012,-1,126.16,3.41,1.81 (17.5;48.5)
2015062200,1,63.37,10.54,1.36 (14.5;50.0)
2015062200,-1,101.91,10.81,1.05 (10.0;50.0)
2015062212,1,77.59,8.57,2.18 (13.0;50.0)
2015062300,-1,127.67,10.1,2.31 (11.5;48.5)
2015062312,-1,116.91,6.53,1.55 (17.5;51.5)
2015062412,-1,70.5,1.47,2.47 (11.5;48.5)
2015062412,-1,115.9,7.12,1.58 (16.0;51.5)
2015062512,-1,116.41,0.3,2.28 (11.5;48.5)
2015062512,-1,263.48,0.64,1.59 (17.5;50.0)
2015062612,1,109.62,2.99,1.88 (11.5;48.5)
2015062700,-1,200.16,2.25,1.95 (13.0;51.5)
2015062700,1,46.43,4.88,1.95 (13.0;51.5)
2015062712,1,57.99,2.67,1.05 (17.5;51.5)
2015062800,-1,111.64,7.15,1.22 (13.0;51.5)
2015062812,-1,78.63,0.37,1.38 (16.0;51.5)
2015062900,-1,135.99,3.35,0.91 (16.0;48.5)
2015062912,-1,107.22,3.95,2.15 (11.5;48.5)
2015062912,1,53.11,1.62,2.15 (11.5;48.5)
2015062912,-1,90.88,6.01,1.24 (10.0;51.5)
2015063000,-1,148.95,2.34,1.70 (11.5;51.5)
2015063012,-1,115.77,0.4,2.23 (10.0;48.5)
2015063012,1,90.83,1.08,2.23 (10.0;48.5)
2015070112,-1,292.17,4.19,2.61 (10.0;48.5)
2015070112,1,253.49,3.69,2.48 (11.5;48.5)
2015070200,1,61.05,1.54,1.75 (13.0;51.5)
2015070200,1,21.46,1.86,1.64 (16.0;50.0)
2015070212,-1,242.14,4.84,2.09 (13.0;48.5)
2015070212,-1,231.75,0.98,1.34 (17.5;50.0)
2015070300,1,58.87,2.9,2.22 (13.0;51.5)
2015070300,1,69.84,3.17,2.11 (19.0;48.5)
2015070300,-1,238.41,1.52,1.70 (14.5;50.0)
2015070300,1,33.95,2.03,1.21 (10.0;48.5)
2015070312,1,260.93,0.56,2.12 (14.5;48.5)
2015070312,-1,242.62,3.27,2.12 (14.5;48.5)
2015070312,-1,250.09,1.28,2.03 (13.0;48.5)
2015070312,1,93.16,2.85,1.95 (14.5;51.5)
2015070312,1,283.39,2.14,1.04 (10.0;51.5)
2015070312,-1,310.96,3.23,0.98 (19.0;51.5)
2015070400,-1,278.05,3.57,1.76 (16.0;48.5)
2015070400,1,86.67,1.58,1.65 (16.0;51.5)
2015070412,1,281.19,0.28,1.97 (14.5;48.5)
2015070412,-1,181.64,1.58,1.97 (14.5;48.5)
2015070412,-1,131.26,1.21,1.79 (13.0;48.5)
2015070500,1,111.04,1.38,1.37 (14.5;48.5)
2015070512,1,303.69,2.0,1.54 (10.0;51.5)
2015070512,1,345.25,0.65,1.32 (16.0;48.5)
2015070512,1,99.22,1.84,1.32 (16.0;48.5)
2015070600,-1,109.27,11.08,3.36 (10.0;48.5)
2015070600,1,105.74,1.73,3.36 (10.0;48.5)
2015070600,-1,72.15,9.72,3.32 (10.0;50.0)
2015070600,-1,100.3,0.34,2.25 (13.0;50.0)
2015070612,-1,140.04,2.65,3.72 (11.5;48.5)
2015070612,-1,113.49,9.3,3.17 (14.5;48.5)
2015070612,-1,123.81,5.85,2.22 (17.5;51.5)
2015070700,-1,133.86,2.15,2.40 (19.0;50.0)
2015070700,1,97.12,1.52,1.75 (10.0;48.5)
2015070712,1,329.21,1.21,2.18 (14.5;50.0)
2015070712,1,335.61,1.79,2.06 (11.5;48.5)
2015070712,1,15.91,3.49,1.73 (19.0;50.0)
2015070800,-1,131.15,13.34,2.68 (10.0;51.5)
2015070800,-1,108.92,11.06,2.54 (16.0;50.0)
2015070800,1,82.17,16.36,2.54 (16.0;50.0)
2015070812,-1,136.68,3.18,2.73 (17.5;48.5)
2015070912,-1,122.75,8.22,2.28 (17.5;51.5)
2015071012,-1,49.83,0.55,3.68 (10.0;48.5)
2015071012,-1,201.19,1.1,1.83 (17.5;50.0)
2015071112,1,50.75,4.53,3.32 (14.5;48.5)
2015071112,1,56.29,1.64,1.88 (14.5;51.5)
2015071112,1,68.91,3.33,1.52 (19.0;50.0)
2015071200,1,71.64,3.56,2.01 (17.5;50.0)
2015071212,1,200.04,0.75,2.14 (19.0;50.0)
2015071212,-1,66.97,6.75,1.85 (13.0;48.5)
2015071300,-1,146.13,6.0,2.49 (16.0;48.5)
2015071300,1,173.86,1.25,2.43 (17.5;50.0)
2015071412,1,47.46,5.91,1.34 (16.0;51.5)
2015071512,-1,124.97,3.15,3.39 (11.5;48.5)
2015071600,1,338.91,1.04,1.78 (10.0;50.0)
2015071612,-1,174.53,0.37,2.16 (10.0;50.0)
2015071612,1,11.57,2.67,2.06 (14.5;48.5)
2015071700,1,7.34,1.43,2.30 (14.5;51.5)
2015071700,1,57.13,3.32,1.04 (11.5;50.0)
2015071712,1,35.44,1.44,2.30 (16.0;51.5)
2015071800,-1,117.71,7.92,2.70 (10.0;51.5)
2015071800,1,301.19,1.05,2.70 (10.0;51.5)
2015071800,1,126.82,4.36,1.72 (11.5;51.5)
2015071800,1,46.38,5.84,1.47 (19.0;51.5)
2015071812,-1,126.7,5.55,2.62 (16.0;51.5)
2015071812,1,109.84,2.39,2.26 (13.0;48.5)
2015071812,1,114.31,4.03,1.55 (17.5;51.5)
2015071900,1,338.06,0.77,1.92 (16.0;51.5)
2015071900,-1,129.68,2.42,1.40 (17.5;50.0)
2015071912,-1,65.58,8.18,2.82 (13.0;48.5)
2015071912,1,130.68,6.75,2.75 (10.0;51.5)
2015071912,-1,133.08,7.06,2.75 (10.0;51.5)
2015071912,1,348.34,4.25,2.73 (14.5;48.5)
2015072000,-1,112.75,17.01,2.04 (17.5;51.5)
2015072012,1,25.81,1.23,2.02 (17.5;51.5)
2015072012,-1,54.64,2.1,1.76 (19.0;50.0)
2015072100,-1,86.66,10.15,1.41 (13.0;51.5)
2015072112,1,130.17,2.12,2.72 (10.0;48.5)
2015072112,-1,126.45,5.29,2.40 (11.5;48.5)
2015072112,1,39.65,4.71,1.86 (19.0;50.0)
2015072112,1,99.17,7.25,1.83 (13.0;48.5)
2015072200,1,10.9,0.99,2.24 (17.5;51.5)
2015072200,-1,142.62,10.7,2.24 (17.5;51.5)
2015072200,-1,34.42,0.37,1.52 (17.5;50.0)
2015072200,1,333.41,1.38,1.50 (10.0;50.0)
2015072212,1,303.26,1.87,2.56 (10.0;50.0)
2015072212,-1,310.13,2.73,2.56 (10.0;50.0)
2015072212,1,14.33,4.45,2.25 (19.0;51.5)
2015072300,-1,123.11,2.36,2.82 (16.0;51.5)
2015072300,1,319.29,2.79,2.82 (16.0;51.5)
2015072312,-1,141.68,3.47,2.76 (17.5;51.5)
2015072400,-1,220.58,2.73,2.13 (19.0;50.0)
2015072400,1,17.92,3.49,2.13 (19.0;50.0)
2015072412,1,309.22,3.41,2.37 (14.5;50.0)
2015072412,-1,199.87,1.13,2.21 (10.0;48.5)
2015072500,1,5.03,7.21,2.00 (13.0;48.5)
2015072500,-1,259.44,0.5,1.88 (14.5;48.5)
2015072500,-1,17.42,9.45,1.72 (11.5;51.5)
2015072512,-1,54.4,18.56,2.00 (11.5;50.0)
2015072512,-1,106.59,1.33,1.58 (17.5;50.0)
2015072700,-1,112.91,4.83,2.19 (14.5;48.5)
2015072700,1,330.78,7.06,2.19 (14.5;48.5)
2015072700,1,111.49,0.98,1.76 (17.5;48.5)
2015072800,-1,54.23,15.72,1.27 (10.0;51.5)
2015072812,1,137.69,2.99,1.44 (16.0;50.0)
2015072812,-1,109.89,8.08,1.40 (17.5;51.5)
2015072912,1,126.97,4.38,2.04 (13.0;50.0)
2015073112,-1,239.93,2.81,2.94 (10.0;48.5)
2015073112,1,262.9,0.54,2.66 (11.5;48.5)
2015073112,-1,67.04,0.5,1.50 (17.5;50.0)
2015080100,1,257.84,3.92,2.07 (11.5;50.0)
2015080100,-1,3.89,7.35,1.94 (13.0;50.0)
2015080112,1,309.47,2.69,2.71 (13.0;48.5)
2015080112,1,27.16,4.48,2.00 (17.5;51.5)
2015080200,-1,147.0,0.07,1.23 (10.0;51.5)
2015080200,1,7.08,3.13,0.90 (13.0;51.5)
2015080212,-1,245.82,2.81,1.33 (11.5;51.5)
2015080300,-1,307.59,3.38,1.56 (11.5;48.5)
2015080312,1,287.19,0.52,2.52 (11.5;48.5)
2015080312,1,52.28,0.04,2.52 (11.5;48.5)
2015080412,-1,83.17,4.6,2.31 (10.0;48.5)
2015080412,1,64.57,2.93,1.54 (11.5;48.5)
2015080500,-1,101.18,4.91,2.79 (14.5;51.5)
2015080512,1,316.75,3.02,3.28 (10.0;48.5)
2015080512,1,130.49,0.27,2.11 (16.0;51.5)
2015080512,-1,100.59,3.53,2.11 (16.0;51.5)
2015080512,-1,131.69,1.83,2.11 (14.5;50.0)
2015080600,1,4.21,5.88,1.61 (14.5;51.5)
2015080600,1,13.92,0.5,1.32 (10.0;50.0)
2015080612,1,351.5,3.27,1.36 (11.5;51.5)
2015080612,1,73.08,0.63,1.17 (13.0;48.5)
2015080800,1,309.28,3.12,1.84 (10.0;51.5)
2015080800,-1,315.97,2.08,1.04 (13.0;48.5)
2015080812,-1,134.01,3.02,3.12 (11.5;51.5)
2015080812,1,302.39,1.92,3.12 (11.5;51.5)
2015080812,-1,291.84,3.99,2.43 (13.0;51.5)
2015080900,-1,122.02,2.47,2.87 (14.5;51.5)
2015080900,1,317.85,3.14,2.87 (14.5;51.5)
2015080900,1,316.98,0.56,2.53 (10.0;50.0)
2015080900,-1,146.79,3.03,1.01 (19.0;51.5)
2015080912,1,306.09,5.27,1.96 (16.0;51.5)
2015081000,1,334.73,5.93,2.17 (14.5;51.5)
2015081012,1,278.2,3.65,2.22 (10.0;50.0)
2015081012,-1,249.74,3.56,1.77 (16.0;51.5)
2015081012,1,347.91,4.19,1.50 (13.0;48.5)
2015081100,-1,87.6,0.96,3.12 (10.0;51.5)
2015081100,1,292.63,3.69,3.12 (10.0;51.5)
2015081112,-1,137.26,1.52,2.29 (11.5;50.0)
2015081112,1,274.54,1.13,2.29 (11.5;50.0)
2015081112,-1,240.27,1.51,1.26 (19.0;51.5)
2015081200,1,328.01,1.98,1.91 (10.0;50.0)
2015081212,1,311.82,1.21,2.35 (11.5;51.5)
2015081212,-1,131.55,0.73,2.23 (13.0;51.5)
2015081300,1,346.17,3.8,1.79 (11.5;51.5)
2015081312,1,213.27,0.87,2.49 (10.0;51.5)
2015081312,-1,351.9,2.67,1.84 (11.5;50.0)
2015081312,1,208.78,0.27,1.79 (19.0;50.0)
2015081400,-1,78.5,2.24,2.54 (10.0;48.5)
2015081400,1,258.68,2.13,2.54 (10.0;48.5)
2015081400,1,52.7,0.75,2.36 (14.5;51.5)
2015081412,1,271.12,1.0,2.32 (17.5;51.5)
2015081412,1,27.75,2.81,2.32 (17.5;51.5)
2015081412,-1,288.3,0.51,2.01 (13.0;50.0)
2015081412,-1,61.0,0.36,1.91 (11.5;50.0)
2015081500,-1,81.45,4.29,3.09 (13.0;50.0)
2015081500,1,66.4,5.86,3.09 (13.0;50.0)
2015081500,1,56.3,2.62,2.60 (19.0;51.5)
2015081512,1,299.1,1.52,2.44 (14.5;48.5)
2015081512,-1,91.48,0.59,2.44 (14.5;48.5)
2015081512,-1,291.28,0.2,2.01 (13.0;48.5)
2015081512,1,49.98,0.65,1.24 (19.0;51.5)
2015081600,1,280.23,1.48,2.16 (13.0;48.5)
2015081600,-1,104.27,0.81,1.81 (13.0;50.0)
2015081600,1,240.26,0.66,1.56 (10.0;50.0)
2015081612,1,292.96,0.49,1.82 (13.0;48.5)
2015081612,-1,249.83,2.45,1.40 (14.5;48.5)
2015081612,1,238.25,5.4,1.24 (14.5;50.0)
2015081700,1,247.29,2.79,2.04 (16.0;48.5)
2015081712,1,240.68,2.59,2.20 (13.0;50.0)
2015081712,-1,75.88,5.45,2.20 (13.0;50.0)
2015081712,-1,233.01,8.71,2.20 (13.0;50.0)
2015081800,1,249.95,2.9,2.00 (11.5;51.5)
2015081800,-1,111.94,6.59,1.88 (14.5;50.0)
2015081812,-1,81.51,3.75,2.17 (13.0;51.5)
2015081812,1,254.85,5.46,2.17 (13.0;51.5)
2015081812,-1,236.89,6.75,1.32 (19.0;51.5)
2015081900,1,254.77,2.87,2.14 (13.0;51.5)
2015081900,-1,65.49,0.17,2.14 (13.0;51.5)
2015081900,-1,241.07,5.12,1.70 (19.0;51.5)
2015081912,-1,122.56,2.42,1.40 (14.5;48.5)
2015081912,-1,233.02,1.79,1.40 (14.5;48.5)
2015082000,1,249.95,3.94,1.06 (11.5;51.5)
2015082312,1,43.03,3.38,1.61 (13.0;50.0)
2015082400,-1,53.18,2.53,2.40 (16.0;48.5)
2015082412,1,82.08,1.94,2.31 (10.0;48.5)
2015082412,-1,52.83,2.23,1.52 (14.5;50.0)
2015082500,-1,82.92,8.73,3.61 (14.5;48.5)
2015082500,1,82.46,7.65,3.61 (14.5;48.5)
2015082612,-1,30.96,0.73,1.27 (19.0;50.0)
2015082700,-1,99.88,4.39,1.62 (14.5;48.5)
2015082700,1,71.18,13.32,0.96 (13.0;50.0)
2015082712,1,114.41,1.84,2.27 (17.5;48.5)
2015082712,1,291.76,1.42,1.81 (10.0;48.5)
2015082800,-1,127.56,5.86,4.42 (11.5;51.5)
2015082800,1,117.34,3.24,2.56 (17.5;48.5)
2015082800,-1,339.72,6.44,2.56 (17.5;48.5)
2015082800,-1,137.27,3.76,1.56 (14.5;48.5)
2015082800,1,0.49,7.09,1.43 (19.0;50.0)
2015082812,-1,137.21,3.57,2.48 (17.5;51.5)
2015082900,-1,166.97,1.74,3.25 (13.0;50.0)
2015082900,-1,162.89,3.07,3.11 (14.5;50.0)
2015082912,1,342.5,1.83,2.78 (14.5;50.0)
2015082912,-1,166.37,0.91,2.59 (11.5;50.0)
2015083000,1,30.4,1.84,2.13 (14.5;50.0)
2015083000,1,297.05,5.15,2.13 (14.5;50.0)
2015083012,1,62.94,3.82,1.75 (16.0;50.0)
2015083012,-1,87.68,1.69,1.65 (14.5;51.5)
2015083100,-1,278.58,0.72,1.91 (17.5;48.5)
2015083100,-1,298.51,2.06,1.37 (13.0;48.5)
2015083100,1,5.24,0.77,0.99 (16.0;51.5)
2015083112,1,356.72,2.95,1.02 (13.0;51.5)
2015090100,-1,118.54,4.63,2.37 (10.0;51.5)
2015090100,1,119.98,3.64,1.72 (17.5;48.5)
2015090100,-1,109.79,7.73,1.48 (11.5;51.5)
2015090100,-1,297.7,0.66,1.36 (17.5;50.0)
2015090112,-1,118.56,0.46,3.15 (10.0;50.0)
2015090112,1,280.32,1.19,2.47 (11.5;48.5)
2015090200,-1,122.86,6.39,3.62 (16.0;48.5)
2015090200,1,119.4,2.26,2.90 (17.5;50.0)
2015090212,-1,126.95,2.12,3.94 (19.0;48.5)
2015090300,1,110.15,0.12,1.12 (10.0;51.5)
2015090400,-1,336.73,0.57,1.32 (10.0;51.5)
2015090600,-1,116.74,10.43,1.09 (19.0;51.5)
2015090712,-1,91.88,5.68,1.08 (13.0;51.5)
2015090912,-1,225.71,5.48,2.07 (11.5;48.5)
2015090912,1,242.79,5.66,1.16 (10.0;50.0)
2015091012,1,200.34,2.41,1.84 (10.0;48.5)
2015091200,1,58.06,2.96,1.41 (14.5;50.0)
2015091212,1,62.89,3.85,0.99 (19.0;51.5)
2015091300,-1,92.82,0.35,2.34 (16.0;48.5)
2015091300,1,51.34,3.88,2.34 (16.0;48.5)
2015091312,1,268.51,0.77,2.46 (17.5;51.5)
2015091312,1,282.44,4.76,2.31 (11.5;51.5)
2015091312,-1,287.11,4.28,1.95 (16.0;50.0)
2015091400,-1,76.41,3.95,3.52 (10.0;48.5)
2015091400,1,55.69,6.44,3.52 (10.0;48.5)
2015091400,1,58.75,7.33,2.12 (16.0;50.0)
2015091412,-1,79.23,8.31,1.97 (14.5;48.5)
2015091412,1,67.36,9.79,1.74 (16.0;48.5)
2015091412,1,276.75,0.79,1.24 (19.0;50.0)
2015091500,-1,108.45,1.97,2.30 (14.5;48.5)
2015091512,1,292.95,4.87,1.99 (16.0;48.5)
2015091600,-1,112.7,3.8,1.84 (16.0;48.5)
2015091600,1,108.38,6.08,1.61 (19.0;50.0)
2015091612,1,313.61,4.01,1.49 (16.0;51.5)
2015091612,-1,79.98,2.63,1.41 (17.5;48.5)
2015091700,-1,111.22,8.06,2.75 (10.0;50.0)
2015091700,1,81.97,4.18,2.21 (17.5;48.5)
2015091712,-1,290.19,1.08,5.78 (11.5;48.5)
2015091712,1,290.55,1.84,5.78 (11.5;48.5)
2015091800,-1,130.37,8.98,3.31 (19.0;48.5)
2015091812,1,313.07,0.28,4.12 (16.0;48.5)
2015091900,1,304.75,0.11,4.01 (17.5;48.5)
2015091912,-1,109.08,2.58,1.19 (11.5;51.5)
2015092012,-1,111.66,7.65,1.95 (17.5;48.5)
2015092212,1,86.4,1.74,1.79 (13.0;48.5)
2015092300,-1,105.16,3.72,1.69 (13.0;48.5)
2015092312,-1,124.84,3.73,2.36 (16.0;48.5)
2015092312,1,296.79,1.51,2.36 (16.0;48.5)
2015092312,-1,296.19,1.64,2.24 (17.5;50.0)
2015092312,1,309.96,5.2,2.24 (17.5;50.0)
2015092400,-1,120.61,1.52,3.35 (17.5;48.5)
2015092400,1,293.06,3.14,3.35 (17.5;48.5)
2015092412,-1,271.21,0.13,4.14 (16.0;48.5)
2015092500,1,283.95,4.16,2.99 (16.0;48.5)
2015092512,1,275.11,11.05,2.15 (16.0;48.5)
2015092600,1,296.03,3.4,1.67 (17.5;48.5)
2015093012,-1,233.51,9.62,2.17 (10.0;48.5)
