datetime,type,dir[deg],v[m/s],max_gradT (station)
2015060100,-1,121.7,12.42,0.93 (11.5;50.0)
2015060112,1,124.02,1.82,3.39 (11.5;51.5)
2015060112,1,95.44,2.88,1.55 (13.0;50.0)
2015060112,-1,137.58,1.66,1.31 (17.5;51.5)
2015060200,-1,135.45,2.65,2.64 (14.5;51.5)
2015060200,1,131.47,2.02,2.64 (14.5;51.5)
2015060212,1,319.56,0.35,1.73 (17.5;51.5)
2015060312,-1,126.47,4.58,3.34 (10.0;51.5)
2015060312,1,143.95,1.07,1.29 (17.5;51.5)
2015060400,-1,154.09,4.98,3.16 (16.0;50.0)
2015060400,-1,168.53,1.77,3.05 (14.5;50.0)
2015060412,1,0.64,0.23,3.31 (14.5;48.5)
2015060412,-1,156.21,5.01,2.60 (17.5;48.5)
2015060500,1,29.47,0.26,2.11 (14.5;50.0)
2015060500,-1,59.28,2.71,1.69 (19.0;48.5)
2015060512,1,294.36,0.73,2.42 (13.0;48.5)
2015060512,-1,213.89,0.48,2.42 (13.0;48.5)
2015060512,1,69.14,1.39,2.27 (16.0;51.5)
2015060512,-1,221.41,0.5,1.78 (19.0;51.5)
2015060600,-1,297.23,0.83,2.67 (16.0;48.5)
2015060612,1,136.42,0.49,2.29 (11.5;51.5)
2015060612,1,87.68,1.29,2.10 (14.5;48.5)
2015060700,1,328.98,3.1,2.99 (13.0;51.5)
2015060700,1,341.83,0.52,1.95 (11.5;50.0)
2015060700,-1,282.36,1.84,1.14 (17.5;48.5)
2015060712,-1,250.52,1.29,3.38 (11.5;51.5)
2015060712,1,309.19,0.69,3.28 (13.0;51.5)
2015060712,1,178.51,0.17,2.95 (10.0;50.0)
2015060800,1,335.47,3.26,2.87 (14.5;51.5)
2015060800,-1,173.47,1.59,2.59 (13.0;51.5)
2015060812,1,318.54,3.72,2.89 (19.0;51.5)
2015060812,-1,239.2,6.82,2.70 (11.5;48.5)
2015060900,1,330.53,3.07,2.80 (17.5;50.0)
2015060912,-1,147.54,1.35,2.84 (17.5;48.5)
2015061000,1,323.52,0.63,2.68 (19.0;50.0)
2015061012,1,212.19,0.51,3.45 (11.5;48.5)
2015061012,1,326.81,0.44,2.71 (19.0;50.0)
2015061012,-1,153.45,0.71,2.71 (19.0;50.0)
2015061100,1,345.62,2.63,2.20 (17.5;50.0)
2015061100,1,321.21,4.46,2.14 (13.0;48.5)
2015061112,1,307.72,0.61,1.62 (16.0;50.0)
2015061200,1,346.24,4.85,2.00 (14.5;50.0)
2015061212,1,332.89,8.53,1.92 (14.5;51.5)
2015061300,-1,124.97,1.91,2.07 (16.0;51.5)
2015061300,1,125.52,1.18,2.07 (16.0;51.5)
2015061312,-1,78.29,6.42,2.54 (10.0;50.0)
2015061312,1,357.51,0.34,1.44 (16.0;51.5)
2015061400,-1,113.83,7.2,1.74 (16.0;48.5)
2015061400,-1,123.87,9.97,1.40 (16.0;50.0)
2015061412,1,218.93,0.13,2.20 (14.5;50.0)
